,Question,Answer,Section,Module
1056,How does the Ramsay principle relate to the purposive approach in statutory interpretation?,"The Ramsay principle is an extension of the purposive approach, as it involves seeking the intention of parliament before analyzing the wider factual matrix surrounding a statute.",The Ramsay principle of statutory interpretation,Business Law and Practice
1057,What does the Ramsay principle require courts to assess when interpreting a statute?,The Ramsay principle requires courts to assess both the intention of parliament in the statute's wording and the broader factual matrix to understand how individual transactions should be regarded.,The Ramsay principle of statutory interpretation,Business Law and Practice
1058,Why is it important for newly qualified solicitors to exercise care in the area of taxation?,"Newly qualified solicitors must exercise care in taxation due to its frequent occurrence in various areas of practice and the complex, constantly changing nature of tax law.",Taxation of a business and its stakeholders.,Business Law and Practice
1059,What do newly qualified solicitors need to understand regarding potential liabilities for taxation?,A broad understanding of potential liabilities for various forms of taxation is essential for all solicitors.,Taxation of a business and its stakeholders.,Business Law and Practice
1060,When might a newly qualified solicitor need to seek expert guidance in tax matters?,A newly qualified solicitor will frequently need expert guidance from legal or accounting professionals who are more knowledgeable in specific areas of tax law.,Taxation of a business and its stakeholders.,Business Law and Practice
1061,Who are the chargeable persons/entities for capital gains tax (CGT)?,"Chargeable persons/entities for capital gains tax include sole traders, partners, and shareholders.",Capital gains tax,Business Law and Practice
1062,What are the chargeable gains paid on under capital gains tax?,"Chargeable gains are paid on the disposal of chargeable assets, which can include personal possessions over a set value, land (excluding an individual’s main home), shares outside of an ISA or PEP, goodwill of a business, and contractual rights.",Capital gains tax,Business Law and Practice
1063,How does the disposal of an asset relate to capital gains tax?,"Disposal can include sales, gifts, swaps, or insurance pay-outs, and the type of disposal affects how the gain is calculated for CGT purposes.",Capital gains tax,Business Law and Practice
1064,What is the threshold value for personal possessions to be considered chargeable assets for capital gains tax?,"Personal possessions are chargeable assets if they exceed a set value of currently £6,000.",Capital gains tax,Business Law and Practice
1065,What calculation method is commonly applied to determine liability for capital gains tax?,The common method involves calculating the gain as the difference between the sale price of the property in the disposal and the price for which it was initially purchased.,Capital gains tax,Business Law and Practice
1066,How is the capital gain calculated when an asset is disposed of as a gift?,"For a gift (excluding to a spouse or charity), the capital gain is the difference between the market value of the asset at the time of the gift and the original purchase price.",Capital gains tax,Business Law and Practice
1067,What types of expenditures can be deducted from the capital gain when calculating liability for capital gains tax?,"Deductions can include incidental costs of acquisition, costs wholly and exclusively incurred to enhance the value of the asset, and incidental costs of disposal.",Capital gains tax,Business Law and Practice
1068,"What relief was introduced in 1982 to account for inflation's impact on capital gains tax, and what is its current status?","The indexation allowance was introduced in 1982, but it has not been in place since 2008.",Capital gains tax,Business Law and Practice
1069,What is business asset rollover relief and what conditions must be met to qualify for it?,"Business asset rollover relief allows for the delay of CGT payment if proceeds from the disposal are used to purchase new assets, provided the new assets are bought within three years, the business is trading, and the assets are used in the business.",Capital gains tax,Business Law and Practice
1070,What is business asset disposal relief and what criteria must be satisfied to benefit from it?,"Business asset disposal relief allows qualifying individuals disposing of a business to pay CGT at a reduced rate of 10%. Criteria include having been a partner or sole trader for two years, owning the business for two years, or meeting specific conditions for selling shares in a trading company.",Capital gains tax,Business Law and Practice
1071,What is incorporation relief and how does it affect capital gains tax?,"Incorporation relief is available to those who transfer a business to a company in exchange for shares, delaying CGT until the shares are disposed of.",Capital gains tax,Business Law and Practice
1072,What is gift hold-over relief and what is required to claim it?,"Gift hold-over relief applies when business assets are given away or sold at undervalue, allowing for no or reduced CGT, requiring a joint application from both the giver and the recipient.",Capital gains tax,Business Law and Practice
1073,What is the current annual allowance for capital gains tax and how does it affect higher-rate taxpayers?,"The current annual allowance for capital gains tax is £12,300, and higher-rate taxpayers face rates of 28% on residential property gains and 20% on all other gains.",Capital gains tax,Business Law and Practice
1074,What happens to capital gains tax liabilities when a business owner dies?,"When a business owner dies and assets pass to their personal representatives, CGT does not apply, but there can be inheritance tax implications, and the possibility of claiming business property relief may arise.",Capital gains tax,Business Law and Practice
1075,What types of assets can qualify for 100% relief under business property relief?,100% relief can be claimed on a business or interest in a business and shares in an unlisted company.,Capital gains tax,Business Law and Practice
1076,What qualifies an asset for 50% relief under business property relief?,"50% relief applies to shares in a listed company that gave the deceased control immediately prior to the transfer, and land, buildings, or machinery used by the business controlled by the deceased just before the transfer.",Capital gains tax,Business Law and Practice
1077,Who are the chargeable persons/entities subject to capital gains tax (CGT)?,"The chargeable persons/entities subject to CGT include sole traders, partners, and shareholders.",5. Taxation of a business and its stakeholders.,Business Law and Practice
1078,What factors are considered in the basis of charge for capital gains tax?,"The basis of charge for CGT involves the calculation of gains, allowable deductions, as well as main reliefs and exemptions.",5. Taxation of a business and its stakeholders.,Business Law and Practice
1079,How is the charge to tax for capital gains calculated and collected?,"The charge to tax for capital gains involves a specific calculation process, followed by a collection mechanism set forth by tax authorities.",5. Taxation of a business and its stakeholders.,Business Law and Practice
1080,What is the significance of anti-avoidance provisions in the context of capital gains tax?,The scope of anti-avoidance provisions is relevant to ensure that individuals and entities do not exploit loopholes to evade capital gains tax liabilities.,5. Taxation of a business and its stakeholders.,Business Law and Practice
1081,Who are considered chargeable persons for capital gains tax purposes?,"Chargeable persons include individuals acting as sole traders, partners, or shareholders.",Chargeable persons,Business Law and Practice
1082,What is capital gains tax paid on?,Capital gains tax is paid on chargeable gains made from the disposal of chargeable assets.,Chargeable persons,Business Law and Practice
1083,What are the types of personal possessions that qualify as chargeable assets?,"Personal possessions that qualify as chargeable assets are those valued over £6,000.",Chargeable assets,Business Law and Practice
1084,Are there any exemptions regarding land in relation to chargeable assets?,"Yes, an individual's main home is not considered a chargeable asset.",Chargeable assets,Business Law and Practice
1085,Under what conditions do shares qualify as chargeable assets?,Shares qualify as chargeable assets if they are not held within an individual savings account (ISA) or a personal equity plan (PEP).,Chargeable assets,Business Law and Practice
1086,What aspect of a business can be classified as a chargeable asset?,The goodwill of a business can be classified as a chargeable asset.,Chargeable assets,Business Law and Practice
1087,What type of rights can be considered chargeable assets?,Contractual rights can be considered chargeable assets.,Chargeable assets,Business Law and Practice
1088,Are there any tax implications for individuals regarding crypto assets?,"Yes, individuals may have to pay capital gains tax on the disposal of crypto assets.",Chargeable assets,Business Law and Practice
1089,"What does the term ""disposal of assets"" encompass in a legal context?","The term ""disposal of assets"" encompasses a sale, gifts, swaps, or even insurance pay-outs.",Disposal of assets,Business Law and Practice
1090,What is the tax implication for gifts made to spouses under capital gains tax rules?,Capital gains tax is usually not payable on gifts made to spouses.,Gifts to spouses or civil partners,Business Law and Practice
1091,How do the rules for gifts to charities differ from those for gifts to spouses regarding capital gains tax?,"Similar to gifts to spouses, gifts to charities are also usually exempt from capital gains tax.",Gifts to spouses or civil partners,Business Law and Practice
1092,What does the statute say about the method for calculating liability for CGT?,The statute does not stipulate a method for calculating liability for CGT.,How to calculate CGT,Business Law and Practice
1093,Is there a universally agreed method for calculating CGT?,"No, there is no universally agreed method for calculating CGT.",How to calculate CGT,Business Law and Practice
1094,What is a common approach used to calculate CGT liability?,It is common to apply a series of stages to calculate CGT liability.,How to calculate CGT,Business Law and Practice
1095,How is the gain on disposal calculated when the disposal is a sale?,The gain is calculated as the difference between the sale price of the property and the price at which it was originally purchased.,Calculate gain on disposal,Business Law and Practice
1096,"What is the gain on disposal when the asset is given as a gift, not to a spouse or charity?",The gain is the difference between the market value of the asset at the time of disposal and the original purchase price.,Calculate gain on disposal,Business Law and Practice
1097,What factors can be deducted from the gain on disposal?,"Deductible factors may include incidental costs related to the acquisition, expenditures wholly and exclusively incurred to enhance the asset's value, and incidental costs of disposal incurred wholly and exclusively for the disposal.",Calculate gain on disposal,Business Law and Practice
1098,What type of costs are considered expenditures that can enhance the value of an asset?,"Expenditures that can enhance the value of an asset include significant improvements, such as building an extension, but do not include regular maintenance costs.",Calculate gain on disposal,Business Law and Practice
1099,Can incidental costs of disposal be deducted and what do they encompass?,"Yes, incidental costs of disposal can be deducted, and they encompass expenses incurred wholly and exclusively for the purpose of the disposal, such as valuation costs or advertising costs to find a buyer.",Calculate gain on disposal,Business Law and Practice
1100,What types of expenditures are permissible deductions from the gain when selling a property?,"Expenditures such as money spent on an extension and costs related to the practicalities of the sale, like agency fees, can be deducted; however, day-to-day repairs are not deductible.",Subtracting allowable expenditure,Business Law and Practice
1101,Are day-to-day repairs to a property considered allowable expenditure when calculating the gain from a sale?,"No, day-to-day repairs to a property are not considered allowable expenditure when calculating the gain from a sale.",Subtracting allowable expenditure,Business Law and Practice
1102,What was the purpose of introducing the indexation allowance in 1982?,"The indexation allowance was introduced to account for the impact of high inflation on gains, indicating that these gains were larger than they would have been during periods of lower inflation.",Indexation,Business Law and Practice
1103,When was the indexation allowance discontinued?,The indexation allowance has not been in place since 2008.,Indexation,Business Law and Practice
1104,What role does the indexation allowance play in Capital Gains Tax (CGT) calculations after its discontinuation?,The indexation allowance may still be relevant to CGT calculations for certain roll-over and hold-over reliefs that occurred prior to April 2008.,Indexation,Business Law and Practice
1105,Is it expected that the indexation allowance will be a significant part of the SQE curriculum?,It seems unlikely that the indexation allowance will feature strongly in the SQE curriculum.,Indexation,Business Law and Practice
1106,What is the effect of business asset rollover relief on capital gains tax (CGT) payment?,Business asset rollover relief delays the payment of CGT on a disposal if part or all of the proceeds are used to purchase a new asset.,Apply reliefs,Business Law and Practice
1107,What timeframe must be adhered to when purchasing new assets to qualify for business asset rollover relief?,New assets must be purchased within three years of the disposal of the old assets or in the year prior to the disposal.,Apply reliefs,Business Law and Practice
1108,What condition regarding trading status must be met for eligibility for business asset rollover relief?,The business must be trading at the time the assets are bought and sold.,Apply reliefs,Business Law and Practice
1109,What requirement must the bought and sold assets meet in relation to their use in the business for business asset rollover relief?,The assets that are bought and sold must be used in the business.,Apply reliefs,Business Law and Practice
1110,What reduced rate does business asset disposal relief provide for capital gains tax?,Business asset disposal relief allows qualifying individuals to pay CGT at a reduced rate of 10%.,Apply reliefs,Business Law and Practice
1111,What are the eligibility criteria for partners or sole traders to qualify for business asset disposal relief?,"To qualify, the individual must have been a partner or sole trader for the past two years and must have owned the business for the past two years.",Apply reliefs,Business Law and Practice
1112,What requirements must be met for individuals selling shares to qualify for business asset disposal relief?,"The individual must be an officer or employee of the company or the holding company, the company must be a trading company or the holding company of a trading company, the individual must hold 5% or more of the shares and voting rights, and must be entitled to 5% of the profits on winding up or 5% of the disposal proceeds if the business is sold.",Apply reliefs,Business Law and Practice
1113,What is the primary benefit of incorporation relief?,"Incorporation relief allows individuals to transfer a business to a company in return for shares, delaying the payment of CGT until the shares are disposed of.",Apply reliefs,Business Law and Practice
1114,Under what circumstances is gift hold-over relief available?,Gift hold-over relief is available when business assets are given away or sold at an undervalue.,Apply reliefs,Business Law and Practice
1115,What is the joint application requirement for gift hold-over relief?,Both the person giving away the business asset and the person receiving it must make a joint application for this relief.,Apply reliefs,Business Law and Practice
1116,What is the current value of the annual allowance that should be deducted in the calculation?,"The current value of the annual allowance is £12,300.",Deduct annual exemption,Business Law and Practice
1117,What is the tax rate on residential property gains for a higher-rate taxpayer?,"The tax rate on residential property gains for a higher-rate taxpayer is 28%, except for the sale of a main residence.",Apply the relevant rate of tax,Business Law and Practice
1118,What is the tax rate for all other gains for a higher-rate taxpayer?,The tax rate for all other gains for a higher-rate taxpayer is 20%.,Apply the relevant rate of tax,Business Law and Practice
1119,"If a taxpayer is within the basic-rate tax band, what is the tax rate on residential property gains after considering the annual exemption?","If a taxpayer is within the basic-rate tax band, the tax rate on residential property gains is 18%.",Apply the relevant rate of tax,Business Law and Practice
1120,What is the tax rate on other gains for a taxpayer within the basic-rate tax band?,The tax rate on other gains for a taxpayer within the basic-rate tax band is 10%.,Apply the relevant rate of tax,Business Law and Practice
1121,How is the taxation determined if a taxpayer's capital gain pushes them over the basic rate threshold?,"If a taxpayer's capital gain pushes them over the basic rate threshold, the portion above the threshold will be taxed at the higher rates: 28% on residential property gains (excluding the sale of a main residence) and 20% on all other gains.",Apply the relevant rate of tax,Business Law and Practice
1122,"What tax rate applies to higher-rate taxpayers on gains from residential property, excluding the sale of a main residence?","A higher-rate taxpayer faces a tax rate of 28% on gains from residential property, excluding the sale of a main residence.",Higher-rate taxpayers,Business Law and Practice
1123,What is the tax rate for higher-rate taxpayers on all other gains not related to residential property?,The tax rate for higher-rate taxpayers on all other gains is 20%.,Higher-rate taxpayers,Business Law and Practice
1124,What is the tax rate applied to residential property gains for individuals within the basic-rate tax band after considering the annual exemption?,The tax rate applied is currently 18% on residential property gains for individuals within the basic-rate tax band after considering the annual exemption.,Basic-rate taxpayers,Business Law and Practice
1125,What is the tax rate applied to all other capital gains for individuals within the basic-rate tax band after subtracting the annual exemption?,The tax rate applied is currently 10% on all other capital gains for individuals within the basic-rate tax band after subtracting the annual exemption.,Basic-rate taxpayers,Business Law and Practice
1126,What tax rates apply if a person's capital gain exceeds the basic rate threshold?,"If a person's capital gain exceeds the basic rate threshold, residential property gains are taxed at 28%, while all other gains are taxed at 20%.",Basic-rate taxpayers,Business Law and Practice
1127,What capital gains are excluded from the higher tax rates applied to residential property gains?,The sale of a main residence is excluded from the higher tax rates applied to residential property gains.,Basic-rate taxpayers,Business Law and Practice
1128,What are the tax implications for a business owner's assets when they die and pass to their personal representatives?,"The transfer of a business owner's assets does not attract Capital Gains Tax (CGT), but there may be inheritance tax (IT) implications.",Business property relief for inheritance tax,Business Law and Practice
1129,What type of relief can be claimed to reduce inheritance tax liability following the death of a business owner?,"Business property relief can be claimed, which may completely extinguish the inheritance tax liability or reduce it by 50%.",Business property relief for inheritance tax,Business Law and Practice
1130,Under what circumstances can 100% business property relief be claimed?,"100% relief can be claimed on a business or interest in a business, and on shares in an unlisted company.",Business property relief for inheritance tax,Business Law and Practice
1131,What qualifies for 50% business property relief?,"50% relief can be claimed on shares in a listed company that gave the deceased control over the company before the transfer, and on land, buildings, or machinery owned by the deceased that was used, wholly or mainly, by the business controlled by the deceased immediately before the transfer.",Business property relief for inheritance tax,Business Law and Practice
1132,Can 50% relief be claimed on assets held in trust held by the deceased?,"Yes, 50% relief can be claimed on land, buildings, or machinery that was held on trust and for which the deceased was beneficially entitled, provided it was used, wholly or mainly, by the business carried out by the deceased immediately before the transfer.",Business property relief for inheritance tax,Business Law and Practice
1133,Who is liable to pay corporation tax?,Corporation tax is payable by companies and can also be paid by unincorporated associations.,Corporation tax and value-added tax,Business Law and Practice
1134,How is corporation tax calculated?,"Corporation tax is calculated by determining income predominantly from trading, calculating chargeable gains, summing the income and gains to find total income, and applying reliefs against total income.",Corporation tax and value-added tax,Business Law and Practice
1135,What is the current corporation tax rate in the UK?,The current corporation tax rate in the UK is 19%.,Corporation tax and value-added tax,Business Law and Practice
1136,What is VAT and how is it categorized?,"VAT is referred to as a consumption tax or a goods and services tax, depending on the country.",Corporation tax and value-added tax,Business Law and Practice
1137,"Who is liable to pay VAT, and when does that liability arise?","The liability for paying VAT rests with any supplier required to be VAT registered who supplies goods or services, and it arises at the time of delivery of the goods or service.",Corporation tax and value-added tax,Business Law and Practice
1138,What are the current rates of VAT?,"The current rates of VAT are standard (20%), reduced (5%), and zero (0%).",Corporation tax and value-added tax,Business Law and Practice
1139,What is the distinction between VAT exempt and zero-rated supplies?,"VAT exempt supplies do not allow for claiming back VAT, while zero-rated supplies enable businesses to claim back on certain expenditures.",Corporation tax and value-added tax,Business Law and Practice
1140,What is the threshold for a supplier to be required to register for VAT?,"A supplier must register for VAT if their annual taxable supplies exceed £85,000.",Corporation tax and value-added tax,Business Law and Practice
1141,What responsibilities does a VAT registered supplier have?,"A VAT registered supplier must charge VAT on every supply of goods or services, can claim back any VAT paid on goods and services, and needs to complete a VAT return every three months.",Corporation tax and value-added tax,Business Law and Practice
1142,What additional schemes are available for VAT registered suppliers?,Annual and monthly schemes are available for VAT registered suppliers.,Corporation tax and value-added tax,Business Law and Practice
1143,Why is understanding different types of taxation important for newly qualified solicitors?,"Understanding different types of taxation is important for newly qualified solicitors as it aids in advising clients on the use of different business organization types, which may influence the choice of a private limited company based on the tax regime.",Corporation tax and value-added tax,Business Law and Practice
1144,What is the primary focus of the chapter regarding taxation?,"The chapter primarily focuses on corporation tax, including liability for payment and calculation methods.",Chapter overview,Business Law and Practice
1145,What additional type of tax is outlined in this chapter apart from corporation tax?,The chapter outlines value-added tax (VAT) in addition to corporation tax.,Chapter overview,Business Law and Practice
1146,Who is obligated to pay corporation tax?,Corporation tax must be paid by companies and may also be paid by unincorporated associations.,Who pays corporation tax?,Business Law and Practice
1147,What types of tax do companies not pay?,Companies do not pay income tax and capital gains tax.,Who pays corporation tax?,Business Law and Practice
1148,What is the general basis for the principles of corporation tax?,The main principles of corporation tax are largely derived from those discussed in previous chapters pertaining to income tax and capital gains tax.,Who pays corporation tax?,Business Law and Practice
1149,On what profits does a UK-registered company typically pay corporation tax?,A UK-registered company usually must pay corporation tax on profits made both in the UK and abroad.,Who pays corporation tax?,Business Law and Practice
1150,What is the primary source of income when calculating corporation tax?,The primary source of income is predominantly trading income.,How to calculate corporation tax,Business Law and Practice
1151,How are chargeable gains calculated for corporation tax purposes?,"Chargeable gains are largely calculated on the same basis as capital gains tax, with the note that companies have fewer reliefs than individuals.",How to calculate corporation tax,Business Law and Practice
1152,What is the formula to find total income for the purpose of corporation tax?,Total income is found by adding the income and chargeable gains.,How to calculate corporation tax,Business Law and Practice
1153,What types of reliefs can be applied against total income when calculating corporation tax?,Reliefs that can be applied against total income are mainly available against trading losses.,How to calculate corporation tax,Business Law and Practice
1154,What is the current corporation tax rate applicable to businesses?,The current corporation tax rate is 19%.,Corporation tax rates,Business Law and Practice
1155,Until when is the trained data regarding corporation tax rates valid?,The trained data is valid up to October 2023.,Corporation tax rates,Business Law and Practice
1156,What is VAT commonly referred to in different countries?,"VAT is commonly referred to as a consumption tax or a goods and services tax, depending on the country.",Value-added tax,Business Law and Practice
1157,Who is responsible for paying VAT according to the legal framework?,The responsibility for paying VAT lies with any supplier who is required to be VAT registered and supplies goods or services.,Who is liable to pay VAT?,Business Law and Practice
1158,When does the liability for paying VAT arise?,The liability for paying VAT arises at the time of delivery of the goods or service.,Who is liable to pay VAT?,Business Law and Practice
1159,What are the current rates of VAT applicable in the UK?,"The current rates of VAT are standard rate at 20%, reduced rate at 5%, and zero rate at 0%.",Rates of VAT,Business Law and Practice
1160,What is the difference between VAT exempt supplies and those charged at zero percent VAT?,"VAT exempt supplies cannot have VAT reclaimed on them, whereas supplies charged at zero percent allow businesses to claim back on certain expenditures.",Rates of VAT,Business Law and Practice
1161,Can businesses reclaim VAT on goods and services that are considered VAT exempt?,"No, businesses cannot reclaim VAT on goods and services that are considered VAT exempt.",Rates of VAT,Business Law and Practice
1162,What is the annual taxable supply threshold that necessitates VAT registration for a supplier?,"A supplier must register for VAT if their annual taxable supplies exceed £85,000.",Requirement to be registered for VAT,Business Law and Practice
1163,What is the obligation of a supplier that is VAT registered regarding charging VAT?,A VAT registered supplier must charge VAT on every supply of goods or services.,Responsibilities if VAT registered,Business Law and Practice
1164,"Can a VAT registered supplier claim any VAT back, and if so, on what basis?","Yes, a VAT registered supplier can claim back any VAT paid on goods and services.",Responsibilities if VAT registered,Business Law and Practice
1165,How frequently must a VAT registered supplier complete a VAT return?,A VAT registered supplier needs to complete a VAT return every three months.,Responsibilities if VAT registered,Business Law and Practice
1166,Are there alternative schemes available for VAT returns aside from the standard quarterly return?,"Yes, annual and monthly schemes are also available for VAT returns.",Responsibilities if VAT registered,Business Law and Practice
1167,Why is understanding different types of taxation important for a newly qualified solicitor?,"Understanding different types of taxation is important for a newly qualified solicitor as it enables them to effectively advise clients on the implications of various business organisation types, which may influence the choice of structure, such as a private limited company.",Financing a business,Business Law and Practice
1168,How can the tax regime impact the choice of a business structure?,"The tax regime can impact the choice of a business structure by serving as a significant factor in deciding whether to select or avoid certain organisation types, like a private limited company, based on the associated tax obligations and benefits.",Taxation of a business and its stakeholders,Business Law and Practice
1169,What is the significance of a working knowledge of the insolvency regime for solicitors advising clients?,"A working knowledge of the insolvency regime is crucial so that solicitors can offer advice when insolvency has occurred or is imminent, as well as help businesses prepare for potential future insolvency.",Corporate insolvency,Business Law and Practice
1170,Who are the main stakeholders affected by corporate insolvency?,"The primary stakeholders affected by corporate insolvency include employees operating within the business and external stakeholders, principally creditors.",Corporate insolvency,Business Law and Practice
1171,What does corporate insolvency typically lead to regarding the company's existence?,"Corporate insolvency does not necessarily mean that the company will cease to exist, but it will most likely lead to an insolvency procedure.",Corporate insolvency,Business Law and Practice
1172,What are the two tests for insolvency?,The two tests for insolvency are the balance sheet test and the cash flow test.,Corporate insolvency,Business Law and Practice
1173,Define the balance sheet test.,The balance sheet test is when a court is satisfied that the value of a company’s assets is less than the amount of its liabilities.,Corporate insolvency,Business Law and Practice
1174,Define the cash flow test.,The cash flow test is when the court is satisfied that the company is unable to pay its debts as they become due.,Corporate insolvency,Business Law and Practice
1175,Under what circumstance is a company deemed insolvent regarding statutory demands?,A company is deemed insolvent if it fails to pay a statutory demand from a creditor for a debt of £750 or more within three weeks of service at the company’s registered office.,Corporate insolvency,Business Law and Practice
1176,What happens if a creditor is awarded a judgment against a company and the company fails to pay?,"If a creditor is awarded a judgment against the company and the company fails to pay when an enforcement procedure is attempted, the company is deemed insolvent.",Corporate insolvency,Business Law and Practice
1177,What are the routes an insolvent company can pursue?,"An insolvent company can pursue liquidation, administration, fixed-asset receivership, or company voluntary arrangements (CVAs).",Corporate insolvency,Business Law and Practice
1178,What is the new moratorium procedure for companies?,"The new moratorium procedure allows some companies to obtain a stand-alone moratorium, providing a temporary breathing space from creditor actions.",Corporate insolvency,Business Law and Practice
1179,What does liquidation signify for a company?,"Liquidation, or winding up, essentially signifies the death of the company.",Corporate insolvency,Business Law and Practice
1180,What is required for a company to voluntarily wind up?,"Voluntary winding up requires members to pass a special resolution, unless the articles allow for an ordinary resolution, and the directors must make a statutory declaration of insolvency prior to this resolution.",Corporate insolvency,Business Law and Practice
1181,Who can initiate creditors’ voluntary winding up?,The creditors’ voluntary winding up is initiated when members pass a winding-up resolution without the directors making a statutory declaration of solvency.,Corporate insolvency,Business Law and Practice
1182,Who can petition for the winding up of a company?,"The petition for winding up can be brought by the company, its directors, or any creditor or creditors.",Corporate insolvency,Business Law and Practice
1183,What happens to the directors' powers once a liquidator is appointed?,"Once a liquidator is appointed, the directors' role effectively stops, and their powers are transferred to the liquidator.",Corporate insolvency,Business Law and Practice
1184,What are the liquidator's main responsibilities?,"The liquidator is responsible for realising the company's assets and distributing them among creditors, as well as investigating past transactions and the conduct of directors.",Corporate insolvency,Business Law and Practice
1185,What are claw-back provisions in the context of liquidation?,"Claw-back provisions allow the liquidator to challenge and recover assets through examples such as wrongful trading, fraudulent trading, transactions at an undervalue, preferences, and setting aside a floating charge.",Corporate insolvency,Business Law and Practice
1186,What establishes director liability under wrongful trading?,A director may be liable for wrongful trading if the company has gone into insolvent liquidation and the director knew or ought to have known there was no reasonable prospect of avoiding it.,Corporate insolvency,Business Law and Practice
1187,What is the statutory test used to determine a director's liability in wrongful trading cases?,"The statutory test considers the knowledge, skill, and experience that would be expected from a director and what a reasonably diligent person in that position would do.",Corporate insolvency,Business Law and Practice
1188,What constitutes fraudulent trading?,Fraudulent trading occurs when a company's business is conducted with the intent to defraud creditors or for any fraudulent purpose.,Corporate insolvency,Business Law and Practice
1189,What is the relevant time frame for transactions at an undervalue?,The relevant time frame for transactions at an undervalue is two years prior to the onset of insolvency.,Corporate insolvency,Business Law and Practice
1190,What is the effect of preferences in insolvency?,"A preference occurs when a company allows something to be done that better positions a creditor than they would have been without that action, and this can lead to a court order unless influenced by a desire to better the creditor's position.",Corporate insolvency,Business Law and Practice
1191,How is the principle of pari passu applied in insolvency?,The principle of pari passu dictates that assets are distributed to creditors in equal proportion to the amounts owed to them.,Corporate insolvency,Business Law and Practice
1192,What are the categories of creditors in the order of asset distribution during a winding-up?,"The order of distribution is: secured creditors with fixed charge, liquidator fees and expenses, preferential creditors, secured creditors with floating charge, unsecured creditors, and shareholders.",Corporate insolvency,Business Law and Practice
1193,What protections are now available for unsecured creditors regarding floating charges?,"Unsecured creditors can now receive a proportion of the assets covered by a floating charge, specifically 50% of the first £10,000 and 20% up to a maximum of £800,000 for charges after 6 April 2020.",Corporate insolvency,Business Law and Practice
1194,What are the statutory objectives of administration under the Insolvency Act 1986?,"The statutory objectives of administration are to rescue the company as a going concern, achieve a better result for creditors than liquidation, or realise property to distribute to secured or preferential creditors.",Corporate insolvency,Business Law and Practice
1195,Who can appoint an administrator under the administration process?,"An administrator can be appointed by a court order, a holder of a qualifying floating charge, or the company or its directors.",Corporate insolvency,Business Law and Practice
1196,What is the duration and possible extensions of the administration period?,The administration period is generally 12 months but can be extended in complex cases.,Corporate insolvency,Business Law and Practice
1197,What is a Company Voluntary Arrangement (CVA)?,A CVA is a court-sanctioned agreement between the company and its creditors that typically involves a reduction of claims or a repayment scheme to rescue the company.,Corporate insolvency,Business Law and Practice
1198,What is required for a CVA to be valid?,"A CVA requires the agreement of 75% of creditors by value of their claims and at least 50% of unconnected creditors, and it can bind creditors not in agreement.",Corporate insolvency,Business Law and Practice
1199,When can directors of a company propose a CVA?,"Directors can propose a CVA unless the company is in administration or liquidation; in those cases, only the administrator or liquidator can make the proposal.",Corporate insolvency,Business Law and Practice
1200,What is the significance of a fixed charge for creditors of an insolvent company's assets?,"A fixed-charge holder can appoint a receiver to sell the charged property or receive rent, providing direct access to the asset's value during insolvency.",Corporate insolvency,Business Law and Practice
1201,What is the purpose of the 20-working-day moratorium available to directors of insolvent companies?,The 20-working-day moratorium provides a short-term breathing space for struggling companies to avoid creditor actions while they seek a resolution.,Corporate insolvency,Business Law and Practice
1202,Why is a working knowledge of the insolvency regime significant for solicitors?,"It is significant because it enables solicitors to advise clients whose businesses are insolvent or trading with insolvent businesses, and to help businesses prepare for potential future insolvency.",Chapter overview,Business Law and Practice
1203,In what scenarios might solicitors provide advice related to insolvency?,"Solicitors might provide advice when insolvency has occurred, is imminent, or when businesses are preparing for the possibility of future insolvency.",Chapter overview,Business Law and Practice
1204,What are the potential effects of corporate insolvency on stakeholders involved in the business?,"Corporate insolvency can significantly impact various stakeholders, including employees and external creditors.",The impact of insolvency,Business Law and Practice
1205,Does corporate insolvency imply that a company will permanently cease to exist?,"No, corporate insolvency does not necessarily mean that the company will cease to exist, although it often leads to an insolvency procedure.",The impact of insolvency,Business Law and Practice
1206,What is a likely outcome if a company is placed into liquidation during the insolvency process?,"If a company is wound up (liquidated), many creditors are likely to receive only a fraction of what they are owed.",The impact of insolvency,Business Law and Practice
1207,What are the two tests for determining insolvency?,The two tests for determining insolvency are the balance sheet test and the cash flow test.,The tests for insolvency,Business Law and Practice
1208,What does the balance sheet test assess in relation to a company's insolvency?,The balance sheet test assesses whether the value of a company's assets is less than the amount of its liabilities.,The tests for insolvency,Business Law and Practice
1209,"In the context of insolvency, what does the cash flow test evaluate?",The cash flow test evaluates whether the company is unable to pay its debts as they become due.,The tests for insolvency,Business Law and Practice
1210,Under what circumstance is a company deemed insolvent regarding unpaid statutory demands?,A company is deemed insolvent if it fails to pay a statutory demand from a creditor for a debt of £750 or more within three weeks of service of the demand at the company’s registered office.,The tests for insolvency,Business Law and Practice
1211,What happens when a creditor is awarded a judgment against a company regarding insolvency?,A company is deemed insolvent if it fails to pay a debt when an enforcement procedure is attempted after a creditor is awarded a judgment against it.,The tests for insolvency,Business Law and Practice
1212,What are the options available for an insolvent company to resolve its financial difficulties?,"An insolvent company can pursue several routes including liquidation, administration, fixed-asset receivership, company voluntary arrangements (CVAs), and a new (stand-alone) moratorium procedure.",Insolvency options and procedures,Business Law and Practice
